category,textBan,textOkay,handheldBan,handheldOkay,seatbeltAll,seatbeltFront,seatbeltSecondary,seatbeltNo,duiNo,duiUnder100,duiOver100,speedUpTo65,speed70,speed75Plus,openContainerBan,openContainerOkay
"Average of states with selected policy",1.03,1.35,0.88,1.16,1.07,1.13,1.04,0.73,1.17,1.11,1.06,0.92,1.04,1.33,1.06,1.2
"U.S. average",1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
